id_ies,nome_ies,organizacao_academica,sistema_de_ensino,categoria_administrativa,situacao_da_ies,UF_PROCESSO,UF_CADASTRO,municipio_processo,municipio_cadastro,uf,PUBLICA_PRIVADA,AMBITO_ADMINISTRATIVO
1055,CENTRO UNIVERSITARIO MAURICIO DE NASSAU DE SALVADOR - UNINASSAU SALVADOR,CENTRO UNIVERSITÁRIO,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,BA,BA,Salvador,Salvador,BA,PRIVADA,FEDERAL
10550,CENTRO DE ENSINO SUPERIOR DE CUIABA -FACULDADES - CESUC,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,MT,,Cuiabá,,MT,PRIVADA,FEDERAL
10564,ASSOCIACAO INSTITUTO SAPIENTIAE - AIS,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,SP,,São Paulo,,SP,PRIVADA,FEDERAL
1058,CENTRO UNIVERSITARIO ESTACIO DA BAHIA - ESTÁCIO BAHIA,CENTRO UNIVERSITÁRIO,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,BA,BA,Salvador,Salvador,BA,PRIVADA,FEDERAL
10584,INSTITUTO DE POS-GRADUACAO DE GOIAS - IPOG,INSTITUIÇÃO ESPECIALMENTE CREDENCIADA PARA OFERTA DE CURSOS LATO SENSU,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,GO,,Goiânia,,GO,PRIVADA,FEDERAL
10588,FACULDADE UNINABUCO SAO LOURENCO DA MATA -,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,EXTINTA,PE,PE,São Lourenço da Mata,São Lourenço da Mata,PE,PRIVADA,FEDERAL
1059,,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,CE,CE,Fortaleza,Fortaleza,CE,PRIVADA,FEDERAL
1060,CENTRO UNIVERSITARIO DO INSTITUTO DE EDUCACAO SUPERIOR DE BRASILIA - IESB - IESB,CENTRO UNIVERSITÁRIO,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,DF,DF,Brasília,Brasília,DF,PRIVADA,FEDERAL
10602,FACULDADE DE LAVRAS DA MANGABEIRA - FLM,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,CE,,Lavras da Mangabeira,,CE,PRIVADA,FEDERAL
10603,,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,SC,,Blumenau,,SC,PRIVADA,FEDERAL
